Text1,Text2,Similarity
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,1.0000000000000002
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,1.0000000000000002
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,Pharmaceutical market in Netherlands Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Netherlands .,1.0000000000000002
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,1.0000000000000002
Altogether Finnair has canceled over 500 flights because of the strike .,Altogether Finnair has canceled over 500 flights because of the strike .,1.0
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,1.0
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??","Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??",1.0
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .","Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",1.0
EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,1.0
Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,1.0
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .","Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",0.9605378896838455
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .","JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",1.0000000000000002
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,$TSLA recall model X https://t.co/b7izYa4BuE,0.983458016208497
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .","The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",1.0
FDA approves AstraZeneca drug for advanced lung cancer,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,0.9193849991822678
FDA approves AstraZeneca drug for advanced lung cancer,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",1.0
WPP boosts sales despite cautious clients,Morrisons faces festive sales test,1.0
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea","ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",1.0000000000000004
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .","However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",1.0000000000000002
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .","The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc and Pohjola Bank Plc. .",0.9185651100586149
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,1.0000000000000002
"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .","External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .",1.0
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .","At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",0.9999999999999999
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .","However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",1.0000000000000002
"FTSE led lower by M&S, GlaxoSmithKline","Royal Mail, Johnson Matthey lead FTSE lower",0.9241067690605026
Barclays sells benchmark indices unit to Bloomberg,Sainsbury sells unit to LloydsPharmacy,1.0
Barclays sells benchmark indices unit to Bloomberg,"Berkshire discloses unit's ties to Iran, opens probe",1.0
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,1.0
Sanoma News ' advertising sales decreased by 22 % during the year .,Sanoma News ' advertising sales decreased by 22 % during the year .,1.0
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,1.0000000000000002
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,Pharmaceutical market in Netherlands Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Netherlands .,1.0000000000000002
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,1.0000000000000002
"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .","Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",1.0000000000000004
Cash Flow from Operations for the most recent quarter also reached a eight year low .,Cash Flow from Operations for the most recent quarter also reached a eight year low .,1.0
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .","TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",1.0000000000000002
The maritime administration said the ships had ignored warnings about the icy conditions .,The maritime administration said the ships had ignored warnings about the icy conditions .,1.0
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,0.9237678191439834
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,0.9215952772800183
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,0.9388601795105345
Financial details were not disclosed .,Financial terms were not disclosed .,1.0000000000000002
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics , '' EBRD informed .","These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics .",1.0
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .","YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",1.0000000000000004
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .","Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",1.0000000000000002
"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",You are warmly welcome !,1.0
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .","Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",1.0000000000000002
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .","Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",0.9490173461106298
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .","Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",0.9490173461106298
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .","Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",0.9490173461106298
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .","Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",0.9490173461106298
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond","( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",1.0000000000000002
"The Lemminkainen Group , headquartered in Helsinki , Finland operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .","The Lemminkainen Group , headquartered in Helsinki , Finland , operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",1.0
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,1.0
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .,1.0
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,Pharmaceuticals - Italy This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Italy .,1.0
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,Pharmaceuticals - Spain This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Spain .,1.0
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,Pharmaceuticals - Belgium This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Belgium .,1.0
"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .","ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",1.0
"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .","In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",1.0000000000000002
The total need for staff cuts corresponds to about 300 man-years .,The total need for staff cuts corresponds to about 300 man-years .,1.0
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .","Operating profit was EUR 11.07 mn , up from EUR 8.65 mn .",1.0000000000000002
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,$HRL ready to pop! http://stks.co/s0Ny4,0.9180115539996923
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,0.9085116224486539
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,0.9449792727347109
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,0.9188395825883929
$DARA breaking out,$GS sells flat..I am out..,1.0
"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .","A total of 750,330 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed in December exercising the A-B-C options based on the company 's stock option plan 1999 .",0.9139065162844621
Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,1.0
Sales by Seppala diminished by 6 per cent .,Sales by Seppala diminished by 6 per cent .,1.0000000000000002
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .","As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",1.0
